time,name,open,high,low,close
2016-05-02 00:00:00,ETHUSD,8.67,10.37,8.67,9.89
2016-05-03 00:00:00,ETHUSD,9.87,10.17,9.29,9.31
2016-05-04 00:00:00,ETHUSD,9.31,9.86,9.2,9.43
2016-05-05 00:00:00,ETHUSD,9.43,9.89,9.28,9.7
2016-05-06 00:00:00,ETHUSD,9.7,9.89,8.97,9.08
2016-05-07 00:00:00,ETHUSD,9.08,9.35,9.05,9.09
2016-05-08 00:00:00,ETHUSD,9.09,9.45,8.85,9.4
2016-05-09 00:00:00,ETHUSD,9.32,9.47,9.1,9.1
2016-05-10 00:00:00,ETHUSD,9.1,9.37,9.1,9.3
2016-05-11 00:00:00,ETHUSD,9.3,9.9,9.28,9.82
2016-05-12 00:00:00,ETHUSD,9.82,10.52,9.67,10.15
2016-05-13 00:00:00,ETHUSD,10.15,11.12,9.84,10.25
2016-05-14 00:00:00,ETHUSD,10.25,10.46,9.75,10.12
2016-05-15 00:00:00,ETHUSD,10.12,10.33,9.87,9.99
2016-05-16 00:00:00,ETHUSD,9.9,11.39,9.87,11.25
2016-05-17 00:00:00,ETHUSD,11.2,12.59,11.0,11.91
2016-05-18 00:00:00,ETHUSD,11.91,14.31,11.91,12.8
2016-05-19 00:00:00,ETHUSD,12.8,14.49,12.7,14.25
2016-05-20 00:00:00,ETHUSD,14.25,15.0,13.45,13.91
2016-05-21 00:00:00,ETHUSD,13.91,14.01,13.08,13.77
2016-05-22 00:00:00,ETHUSD,13.77,14.37,13.72,14.26
2016-05-23 00:00:00,ETHUSD,14.27,14.44,13.68,13.92
2016-05-24 00:00:00,ETHUSD,13.92,13.92,12.01,12.7
2016-05-25 00:00:00,ETHUSD,12.7,12.88,11.85,12.35
2016-05-26 00:00:00,ETHUSD,12.35,12.95,12.04,12.39
2016-05-27 00:00:00,ETHUSD,12.39,12.6,10.3,11.0
2016-05-28 00:00:00,ETHUSD,11.0,12.04,10.16,11.03
2016-05-29 00:00:00,ETHUSD,11.03,12.23,10.88,11.9
2016-05-30 00:00:00,ETHUSD,11.91,12.59,11.72,12.5
2016-05-31 00:00:00,ETHUSD,12.5,13.92,12.42,13.68
2016-06-01 00:00:00,ETHUSD,13.68,13.97,13.1,13.64
2016-06-02 00:00:00,ETHUSD,13.62,13.71,13.34,13.57
2016-06-03 00:00:00,ETHUSD,13.57,13.6,12.86,13.07
2016-06-04 00:00:00,ETHUSD,13.07,13.64,13.0,13.44
2016-06-05 00:00:00,ETHUSD,13.44,13.6,13.2,13.51
2016-06-06 00:00:00,ETHUSD,13.51,13.7,13.4,13.63
2016-06-07 00:00:00,ETHUSD,13.63,14.2,13.6,14.0
2016-06-08 00:00:00,ETHUSD,14.0,14.65,14.0,14.16
2016-06-09 00:00:00,ETHUSD,14.16,14.21,14.0,14.12
2016-06-10 00:00:00,ETHUSD,14.12,14.15,13.5,13.57
2016-06-11 00:00:00,ETHUSD,13.53,13.73,13.4,13.55
2016-06-12 00:00:00,ETHUSD,13.55,14.8,13.42,14.42
2016-06-13 00:00:00,ETHUSD,14.42,17.0,14.39,16.51
2016-06-14 00:00:00,ETHUSD,16.51,18.89,16.4,18.01
2016-06-15 00:00:00,ETHUSD,18.0,18.66,16.96,17.76
2016-06-16 00:00:00,ETHUSD,17.76,19.64,17.43,19.57
2016-06-17 00:00:00,ETHUSD,19.57,20.5,12.84,14.13
2016-06-18 00:00:00,ETHUSD,14.13,15.06,9.6,11.22
2016-06-19 00:00:00,ETHUSD,11.22,12.78,10.16,11.58
2016-06-20 00:00:00,ETHUSD,11.57,12.1,10.16,11.39
2016-06-21 00:00:00,ETHUSD,11.39,12.2,10.93,11.95
2016-06-22 00:00:00,ETHUSD,11.9,15.39,11.89,13.19
2016-06-23 00:00:00,ETHUSD,13.19,15.4,12.01,12.81
2016-06-24 00:00:00,ETHUSD,12.8,13.82,12.75,13.39
2016-06-25 00:00:00,ETHUSD,13.4,13.86,13.4,13.52
2016-06-26 00:00:00,ETHUSD,13.52,13.72,13.09,13.17
2016-06-27 00:00:00,ETHUSD,13.17,13.66,13.1,13.43
2016-06-28 00:00:00,ETHUSD,13.43,13.6,11.2,11.83
2016-06-29 00:00:00,ETHUSD,11.83,12.56,11.36,12.54
2016-06-30 00:00:00,ETHUSD,12.54,12.68,11.9,12.01
2016-07-01 00:00:00,ETHUSD,12.01,12.25,11.32,11.83
2016-07-02 00:00:00,ETHUSD,11.82,12.08,11.65,11.7
2016-07-03 00:00:00,ETHUSD,11.71,11.91,11.47,11.55
2016-07-04 00:00:00,ETHUSD,11.54,11.76,11.06,11.15
2016-07-05 00:00:00,ETHUSD,11.12,11.2,7.85,9.79
2016-07-06 00:00:00,ETHUSD,9.79,10.8,9.78,10.22
2016-07-07 00:00:00,ETHUSD,10.23,10.28,9.57,9.61
2016-07-08 00:00:00,ETHUSD,9.61,10.7,9.45,10.62
2016-07-09 00:00:00,ETHUSD,10.59,11.2,10.41,10.75
2016-07-10 00:00:00,ETHUSD,10.75,10.83,10.5,10.59
2016-07-11 00:00:00,ETHUSD,10.59,10.68,10.01,10.29
2016-07-12 00:00:00,ETHUSD,10.28,10.48,10.21,10.3
