timestamp,price
2025-03-19,1.7429
2025-03-20,1.8739
2025-03-21,1.833
2025-03-22,1.8608
2025-03-23,2.0313
2025-03-24,2.4489
2025-03-25,2.3899
2025-03-26,2.2811
2025-03-27,2.4364
2025-03-28,2.2574
2025-03-29,2.2094
2025-03-30,2.3228
2025-03-31,2.3191
2025-04-01,2.2413
2025-04-02,2.1797
2025-04-03,2.1859
2025-04-04,2.1729
2025-04-05,2.1758
2025-04-06,1.9181
2025-04-07,1.9854
2025-04-08,1.95
2025-04-09,2.1324
2025-04-10,1.9855
2025-04-11,1.9618
2025-04-12,2.065
2025-04-13,2.0257
2025-04-14,2.0232
2025-04-15,1.975
2025-04-16,1.971
2025-04-17,2.0252
2025-04-18,2.0745
2025-04-19,2.0635
2025-04-20,2.075
2025-04-21,2.115
2025-04-22,2.1419
2025-04-23,2.1489
2025-04-24,2.0884
2025-04-25,2.0959
2025-04-26,2.1472
2025-04-27,2.1427
2025-04-28,2.1425
2025-04-29,2.1175
2025-04-30,2.1234
2025-05-01,2.17
2025-05-02,2.2082
2025-05-03,2.1613
2025-05-04,2.2505
2025-05-05,2.5859
2025-05-06,2.5099
2025-05-07,2.5645
2025-05-08,2.4336
2025-05-09,2.35
2025-05-10,2.397
2025-05-11,2.3953
2025-05-12,2.7947
2025-05-13,2.7399
2025-05-14,2.7305
2025-05-15,2.6675
2025-05-16,2.7803
2025-05-17,2.7732
2025-05-18,2.7836
2025-05-19,2.6076
2025-05-20,2.6273
2025-05-21,2.6493
2025-05-22,2.6276
2025-05-23,2.8669
2025-05-24,2.8822
2025-05-25,2.8581
2025-05-26,2.9929
2025-05-27,3.002
2025-05-28,2.9721
2025-05-29,2.9898
2025-05-30,2.7974
2025-05-31,2.8523
2025-06-01,2.8584
2025-06-02,2.8087
2025-06-03,2.8833
2025-06-04,2.7729
2025-06-05,2.745
2025-06-06,2.7701
2025-06-07,2.7631
2025-06-08,2.7594
2025-06-09,2.7784
2025-06-10,2.7895
2025-06-11,2.737
2025-06-12,2.7254
2025-06-13,2.675
2025-06-14,2.6393
2025-06-15,2.6177
2025-06-16,2.5866
2025-06-17,2.5657
2025-06-18,2.5242
2025-06-19,2.412
2025-06-20,2.4201
2025-06-21,2.3453
2025-06-22,2.404
2025-06-23,2.8011
2025-06-24,2.704
2025-06-25,2.8104
2025-06-26,2.7955
2025-06-27,2.831
2025-06-28,2.8032
2025-06-29,2.9103
2025-06-30,2.9217
2025-07-01,2.975
2025-07-02,2.8749
2025-07-03,2.7847
2025-07-04,2.8262
2025-07-05,2.8015
2025-07-06,2.7186
2025-07-07,2.6965
2025-07-08,2.7257
2025-07-09,2.902
2025-07-10,2.9886
2025-07-11,3.2999
2025-07-12,3.4147
2025-07-13,3.3454
2025-07-14,3.2735
2025-07-15,3.1192
2025-07-16,3.1546
2025-07-17,3.3658
2025-07-18,3.4301
2025-07-19,3.5137
2025-07-20,3.4845
2025-07-21,3.514
2025-07-22,3.5678
2025-07-23,3.5023
2025-07-24,3.5218
2025-07-25,3.3959
2025-07-26,3.3542
2025-07-27,3.4725
2025-07-28,3.4052
2025-07-29,3.7963
2025-07-30,3.8276
2025-07-31,3.7781
2025-08-01,3.7894
2025-08-02,3.6872
2025-08-03,3.8185
2025-08-04,3.8249
2025-08-05,3.8042
2025-08-06,3.7601
2025-08-07,3.9132
2025-08-08,3.9303
2025-08-09,4.0939
2025-08-10,3.8895
2025-08-11,3.8451
2025-08-12,3.7759
2025-08-13,3.8926
2025-08-14,3.8037
2025-08-15,3.7712
2025-08-16,3.7308
2025-08-17,3.7215
2025-08-18,3.7327
2025-08-19,3.5406
2025-08-20,3.5778
2025-08-21,3.6135
2025-08-22,3.5417
2025-08-23,3.5483
2025-08-24,3.4739
2025-08-25,3.4248
2025-08-26,3.4967
2025-08-27,3.4978
2025-08-28,3.6994
2025-08-29,3.6189
2025-08-30,3.7578
2025-08-31,3.0527
2025-09-01,3.1854
2025-09-02,3.3108
2025-09-03,3.5972
2025-09-04,3.7076
2025-09-05,3.668
2025-09-06,3.6778
2025-09-07,4.0066
2025-09-08,3.7879
2025-09-09,3.091
2025-09-10,3.0265
2025-09-11,2.6702
2025-09-12,2.6736
2025-09-13,2.6665
2025-09-14,2.2575
2025-09-15,2.1569
2025-09-16,1.9746
2025-09-17,1.9349
2025-09-18,1.9305
2025-09-19,1.6721
2025-09-20,1.4518
2025-09-21,1.4604
2025-09-22,1.189
2025-09-23,1.114
2025-09-24,1.1303
2025-09-25,1.0233
2025-09-26,0.9964
2025-09-27,0.9415
2025-09-28,1.2813
2025-09-29,1.0813
2025-09-30,1.0466
2025-10-01,1.0504
2025-10-02,1.2202
2025-10-03,1.167
2025-10-04,1.124
2025-10-05,1.1051
2025-10-06,1.1188
2025-10-07,1.3478
2025-10-08,1.3922
2025-10-09,1.2444
2025-10-10,0.8196
2025-10-11,0.7259
2025-10-12,0.9935
2025-10-13,1.0826
2025-10-14,1.0949
2025-10-15,0.976
2025-10-16,0.8919
2025-10-17,0.8652
2025-10-18,0.8395
2025-10-19,0.8137
2025-10-20,0.8269
2025-10-21,0.7314
2025-10-22,0.7035
2025-10-23,0.732
2025-10-24,0.695
2025-10-25,0.6768
2025-10-26,0.7956
2025-10-27,0.6834
2025-10-28,0.6672
2025-10-29,0.6174
2025-10-30,0.5407
2025-10-31,0.5193
2025-11-01,0.5403
