timestamp,price
2025-04-11,0.528
2025-04-12,0.6136
2025-04-13,0.5408
2025-04-14,0.5777
2025-04-15,0.5585
2025-04-16,0.5368
2025-04-17,0.5565
2025-04-18,0.5869
2025-04-19,0.5827
2025-04-20,0.5734
2025-04-21,0.5677
2025-04-22,0.6898
2025-04-23,0.7264
2025-04-24,0.7751
2025-04-25,0.9239
2025-04-26,1.1062
2025-04-27,1.0685
2025-04-28,1.4029
2025-04-29,1.3789
2025-04-30,1.5391
2025-05-01,1.6394
2025-05-02,1.7599
2025-05-03,1.6927
2025-05-04,1.638
2025-05-05,1.6538
2025-05-06,1.4898
2025-05-07,1.3919
2025-05-08,2.0871
2025-05-09,1.9484
2025-05-10,2.0124
2025-05-11,1.9472
2025-05-12,1.9963
2025-05-13,2.0465
2025-05-14,1.9888
2025-05-15,1.8256
2025-05-16,1.7953
2025-05-17,1.6861
2025-05-18,2.0322
2025-05-19,1.9482
2025-05-20,1.9398
2025-05-21,1.985
2025-05-22,2.0506
2025-05-23,1.9393
2025-05-24,2.006
2025-05-25,2.0315
2025-05-26,2.1323
2025-05-27,2.4455
2025-05-28,2.3299
2025-05-29,2.2547
2025-05-30,1.9341
2025-05-31,2.0152
2025-06-01,2.0644
2025-06-02,1.9741
2025-06-03,1.9408
2025-06-04,1.7854
2025-06-05,1.6539
2025-06-06,1.8569
2025-06-07,1.8278
2025-06-08,1.8253
2025-06-09,2.0123
2025-06-10,2.1071
2025-06-11,2.111
2025-06-12,1.8599
2025-06-13,1.9099
2025-06-14,1.8086
2025-06-15,1.8422
2025-06-16,1.825
2025-06-17,1.6994
2025-06-18,1.6953
2025-06-19,1.6702
2025-06-20,1.5462
2025-06-21,1.4051
2025-06-22,1.3732
2025-06-23,1.6934
2025-06-24,1.5977
2025-06-25,1.4335
2025-06-26,1.443
2025-06-27,1.4591
2025-06-28,1.52
2025-06-29,1.6241
2025-06-30,1.5044
2025-07-01,1.4317
2025-07-02,1.606
2025-07-03,1.658
2025-07-04,1.5492
2025-07-05,1.5414
2025-07-06,1.5528
2025-07-07,1.4976
2025-07-08,1.4732
2025-07-09,1.5599
2025-07-10,1.7616
2025-07-11,1.7134
2025-07-12,1.7078
2025-07-13,1.709
2025-07-14,1.6898
2025-07-15,1.6858
2025-07-16,1.7792
2025-07-17,1.8071
2025-07-18,1.7426
2025-07-19,1.7731
2025-07-20,1.8256
2025-07-21,1.9184
2025-07-22,1.9385
2025-07-23,1.7098
2025-07-24,1.5423
2025-07-25,1.5686
2025-07-26,1.5698
2025-07-27,1.6003
2025-07-28,1.452
2025-07-29,1.3771
2025-07-30,1.343
2025-07-31,1.253
2025-08-01,1.2154
2025-08-02,1.1531
2025-08-03,1.2191
2025-08-04,1.2576
2025-08-05,1.1842
2025-08-06,1.2321
2025-08-07,1.3338
2025-08-08,1.3715
2025-08-09,1.4204
2025-08-10,1.4526
2025-08-11,1.3128
2025-08-12,1.3392
2025-08-13,1.3758
2025-08-14,1.188
2025-08-15,1.1947
2025-08-16,1.2093
2025-08-17,1.305
2025-08-18,1.2137
2025-08-19,1.1676
2025-08-20,1.2606
2025-08-21,1.1845
2025-08-22,1.3267
2025-08-23,1.2838
2025-08-24,1.2335
2025-08-25,1.1178
2025-08-26,1.1803
2025-08-27,1.1584
2025-08-28,1.2114
2025-08-29,1.1342
2025-08-30,1.1509
2025-08-31,1.1094
2025-09-01,1.0267
2025-09-02,1.0626
2025-09-03,1.1336
2025-09-04,1.058
2025-09-05,1.0998
2025-09-06,1.1114
2025-09-07,1.1436
2025-09-08,1.2815
2025-09-09,1.2572
2025-09-10,1.2576
2025-09-11,1.2837
2025-09-12,1.3305
2025-09-13,1.36
2025-09-14,1.27
2025-09-15,1.2253
2025-09-16,1.2455
2025-09-17,1.3609
2025-09-18,1.3585
2025-09-19,1.2583
2025-09-20,1.2608
2025-09-21,1.2233
2025-09-22,1.116
2025-09-23,1.0846
2025-09-24,1.0898
2025-09-25,1.0005
2025-09-26,1.0439
2025-09-27,1.0237
2025-09-28,1.0527
2025-09-29,1.0283
2025-09-30,1.0129
2025-10-01,1.0885
2025-10-02,1.1598
2025-10-03,1.1402
2025-10-04,1.1084
2025-10-05,1.0848
2025-10-06,1.1685
2025-10-07,1.0867
2025-10-08,1.1265
2025-10-09,1.0515
2025-10-10,0.7249
2025-10-11,0.7059
2025-10-12,0.7886
2025-10-13,0.8702
2025-10-14,0.8199
2025-10-15,0.7742
2025-10-16,0.767
2025-10-17,0.7422
2025-10-18,0.7528
2025-10-19,0.7913
2025-10-20,0.7968
2025-10-21,0.7747
2025-10-22,0.7361
2025-10-23,0.7836
2025-10-24,1.0027
2025-10-25,1.3172
2025-10-26,1.5107
2025-10-27,1.4321
2025-10-28,1.4969
2025-10-29,1.5158
2025-10-30,1.2552
2025-10-31,1.3596
2025-11-01,1.8336
